"alias","name","Organism Taxon Id","represents","selected","shared name","type"
"CAP-C|CAPC|SMC-4|SMC4L1|hCAP-C","SMC4","9606","ncbigene:10051","false","SMC4","protein"
"BAM|BMH|CDLS3|CSPG6|HCAP|SMC3L1","SMC3","9606","ncbigene:9126","false","SMC3","protein"
"CAP-E|CAPE|SMC-2|SMC2L1","SMC2","9606","ncbigene:10592","false","SMC2","protein"
"RSE1|SAP130|SF3b130|STAF130","SF3B3","9606","ncbigene:23450","false","SF3B3","protein"
"Hsh155|MDS|PRP10|PRPF10|SAP155|SF3b155","SF3B1","9606","ncbigene:23451","false","SF3B1","protein"
"SMT3IP1|SSP3|Ulp1","SENP3","9606","ncbigene:26168","false","SENP3","protein"
"AML1|AML1-EVI-1|AMLCR1|CBFA2|EVI-1|PEBP2aB","RUNX1","9606","ncbigene:861","false","RUNX1","protein"
"TSG15","RPP30","9606","ncbigene:10556","false","RPP30","protein"
"ALO17|C17orf27|KIAA1618|MYMY2|MYSTR|NET57","RNF213","9606","ncbigene:57674","false","RNF213","protein"
,"RNF6","9606","ncbigene:6049","false","RNF6","protein"
"RFC40","RFC2","9606","ncbigene:5982","false","RFC2","protein"
"A1|MHCBFB|PO-GA|RECC1|RFC|RFC140","RFC1","9606","ncbigene:5981","false","RFC1","protein"
"CAPER|CAPERalpha|FSAP59|HCC1|RNPC2","RBM39","9606","ncbigene:9584","false","RBM39","protein"
"SPF45","RBM17","9606","ncbigene:84991","false","RBM17","protein"
"COAA|PSP2|SIP|SYTIP1|TMEM137","RBM14","9606","ncbigene:10432","false","RBM14","protein"
"P2P-R|PACT|RBQ-1|SNAMA","RBBP6","9606","ncbigene:5930","false","RBBP6","protein"
"Fug1|RANGAP|SD","RANGAP1","9606","ncbigene:5905","false","RANGAP1","protein"
"ADANE|ANE1|IIAE3|NUP358|TRP1|TRP2","RANBP2","9606","ncbigene:5903","false","RANBP2","protein"
"ARA24|Gsp1|TC4","RAN","9606","ncbigene:5901","false","RAN","protein"
"HPRP8|PRP8|PRPC8|RP13|SNRNP220","PRPF8","9606","ncbigene:10594","false","PRPF8","protein"
"PP-1G|PP1C|PPP1G","PPP1CC","9606","ncbigene:5501","false","PPP1CC","protein"
"DRS|DRSP|SDK3|memA","PNN","9606","ncbigene:5411","false","PNN","protein"
"PLK|STPK13","PLK1","9606","ncbigene:5347","false","PLK1","protein"
"BAP|BCAP37|Bap37|PNAS-141|REA|p22","PHB2","9606","ncbigene:11331","false","PHB2","protein"
"HEL-215|HEL-S-54e|PHB1","PHB","9606","ncbigene:5245","false","PHB","protein"
"PES","PES1","9606","ncbigene:23481","false","PES1","protein"
"APRIN|AS3|CG008","PDS5B","9606","ncbigene:23047","false","PDS5B","protein"
"SCC-112|SCC112","PDS5A","9606","ncbigene:23244","false","PDS5A","protein"
"F23149_1|PD2","PAF1","9606","ncbigene:54623","false","PAF1","protein"
